tag_id;name;category;count
1452975;yorigami_jo'on;4;2113
1440110;akagi_(azur_lane);4;2111
1283598;bronya_zaychik;4;2108
626945;shokuhou_misaki;4;2107
1765430;jeanne_d'arc_alter_(swimsuit_berserker)_(fate);4;2096
1311294;gran_(granblue_fantasy);4;2093
1678980;sangonomiya_kokomi;4;2091
1316167;kurosawa_dia;4;2088
1605761;hina_(blue_archive);4;2086
573907;blue_oak;4;2085
662472;takanashi_rikka;4;2085
717136;aida_mana;4;2083
1631116;kisaragi_(kancolle);4;2074
1250847;junketsu;4;2072
1236625;eren_yeager;4;2070
1366306;rowlet;4;2069
1316169;matsuura_kanan;4;2066
615289;hilbert_(pokemon);4;2062
1234829;yang_xiao_long;4;2059
1402355;kagari_atsuko;4;2058
1596241;diluc_(genshin_impact);4;2051
405240;amagi_yukiko;4;2049
853361;bb_(fate/extra);4;2042
1719009;la+_darknesss;4;2042
1432299;matara_okina;4;2040
657125;ia_(vocaloid);4;2033
1183449;nonna_(girls_und_panzer);4;2033
1252196;akuma_homura;4;2030
1448715;kizuna_akari;4;2029
1431862;nero_claudius_(swimsuit_caster)_(fate);4;2027
1585360;battleship_princess;4;2020
1667140;ump9_(girls'_frontline);4;2019
426767;ikamusume;4;2018
691541;perrine_h._clostermann;4;2017
1631333;shikinami_(kancolle);4;2017
1685270;hakos_baelz;4;2016
530171;kurumi_erika;4;2014
1316166;kunikida_hanamaru;4;2013
1631090;kamikaze_(kancolle);4;2012
1515818;denji_(chainsaw_man);4;2010
527779;han_juri;4;2003
1587880;gotou_hitori;4;2001
599208;charlotte_e._yeager;4;2000
1271044;raiden_mei;4;1994
1308178;octoling;4;1994
409162;senjougahara_hitagi;4;1991
1630675;gambier_bay_(kancolle);4;1990
1631046;ise_(kancolle);4;1985
610107;akaza_akari;4;1983
1387121;tamamo_no_mae_(swimsuit_lancer)_(fate);4;1983
1464778;nakano_yotsuba;4;1983
1631071;jun'you_(kancolle);4;1980
660392;hoshizora_miyuki;4;1977
1631188;miyuki_(kancolle);4;1976
16066;raising_heart;4;1975
416172;kujikawa_rise;4;1967
1467626;anastasia_(fate);4;1960
1440070;kaga_(azur_lane);4;1958
1630677;gangut_(kancolle);4;1953
1159816;mirko;4;1952
1646759;silence_suzuka_(umamusume);4;1950
1627569;fou_(fate);4;1949
1631265;pola_(kancolle);4;1949
663681;honda_mio;4;1948
591906;panty_(psg);4;1945
772426;ohtsuki_yui;4;1941
1250855;hex_maniac_(pokemon);4;1941
1658781;scaramouche_(genshin_impact);4;1941
502807;shinki_(touhou);4;1940
386434;piplup;4;1933
1452668;hassan_of_serenity_(fate);4;1932
414820;lynette_bishop;4;1929
476084;saten_ruiko;4;1929
1488442;bb_(swimsuit_mooncancer)_(fate);4;1926
16082;ryougi_shiki;4;1923
41;suiseiseki;4;1919
1610754;yu_mei-ren_(fate);4;1911
11050;sonozaki_mion;4;1910
1509453;fu_hua;4;1909
1625332;yuuka_(blue_archive);4;1908
1540881;w_(arknights);4;1905
1580066;suzuran_(arknights);4;1905
1817174;inkling_boy;4;1902
553633;lyra_(pokemon);4;1894
1645002;nice_nature_(umamusume);4;1890
721694;tatsumaki;4;1888
1631016;i-168_(kancolle);4;1887
1716513;avatar_(ff11);4;1885
384405;irisviel_von_einzbern;4;1885
445847;charizard;4;1883
1459161;tsukino_mito;4;1883
1675937;kaedehara_kazuha;4;1883
1472743;ibaraki_douji_(fate);4;1882
1387748;katsuki_yuuri;4;1881
1316168;kurosawa_ruby;4;1876
